id,name,volume,groupID,groupName,categoryID,categoryName
0,#System,0,0,#System,0,#System
1373,CharacterAmarr,1,1,Character,1,Owner
1374,CharacterNiKunni,1,1,Character,1,Owner
1375,CharacterCivire,1,1,Character,1,Owner
1376,CharacterDeteis,1,1,Character,1,Owner
1377,CharacterGallente,1,1,Character,1,Owner
1378,CharacterIntaki,1,1,Character,1,Owner
1379,CharacterSebiestor,1,1,Character,1,Owner
1380,CharacterBrutor,1,1,Character,1,Owner
1381,CharacterStatic,1,1,Character,1,Owner
1382,CharacterModifier,1,1,Character,1,Owner
1383,CharacterAchura,1,1,Character,1,Owner
1384,CharacterJinMei,1,1,Character,1,Owner
1385,CharacterKhanid,1,1,Character,1,Owner
1386,CharacterVherokior,1,1,Character,1,Owner
34574,CharacterDrifter,0,1,Character,1,Owner
2,Corporation,0,2,Corporation,1,Owner
30,Faction,0,19,Faction,1,Owner
16159,Alliance,0,32,Alliance,1,Owner
3,Region,1,3,Region,2,Celestial
4,Constellation,1,4,Constellation,2,Celestial
5,"Solar System",1,5,"Solar System",2,Celestial
6,"Sun G5 (Yellow)",1,6,Sun,2,Celestial
7,"Sun K7 (Orange)",1,6,Sun,2,Celestial
8,"Sun K5 (Red Giant)",1,6,Sun,2,Celestial
9,"Sun B0 (Blue)",1,6,Sun,2,Celestial
10,"Sun F0 (White)",1,6,Sun,2,Celestial
3796,"Sun O1 (Blue Bright)",1,6,Sun,2,Celestial
3797,"Sun G5 (Pink)",1,6,Sun,2,Celestial
3798,"Sun K5 (Orange Bright)",1,6,Sun,2,Celestial
3799,"Sun G3 (Pink Small)",1,6,Sun,2,Celestial
3800,"Sun M0 (Orange radiant)",1,6,Sun,2,Celestial
3801,"Sun A0 (Blue Small)",1,6,Sun,2,Celestial
3802,"Sun K3 (Yellow Small)",1,6,Sun,2,Celestial
3803,"Sun B5 (White Dwarf)",1,6,Sun,2,Celestial
34331,"Sun A0IV (Turbulent Blue Subgiant)",1,6,Sun,2,Celestial
11,"Planet (Temperate)",1,7,Planet,2,Celestial
12,"Planet (Ice)",1,7,Planet,2,Celestial
13,"Planet (Gas)",1,7,Planet,2,Celestial
2014,"Planet (Oceanic)",1,7,Planet,2,Celestial
2015,"Planet (Lava)",1,7,Planet,2,Celestial
2016,"Planet (Barren)",1,7,Planet,2,Celestial
2017,"Planet (Storm)",1,7,Planet,2,Celestial
2063,"Planet (Plasma)",1,7,Planet,2,Celestial
30889,"Planet (Shattered)",1,7,Planet,2,Celestial
14,Moon,1,8,Moon,2,Celestial
15,"Asteroid Belt",1,9,"Asteroid Belt",2,Celestial
17774,"Ice Field",1,9,"Asteroid Belt",2,Celestial
16,"Stargate (Caldari System)",10000000,10,Stargate,2,Celestial
17,"Stargate (Amarr Constellation)",100000000,10,Stargate,2,Celestial
3873,"Stargate (Caldari Border)",10000000000,10,Stargate,2,Celestial
3874,"Stargate (Gallente Constellation)",10000000,10,Stargate,2,Celestial
3875,"Stargate (Gallente System)",10000000,10,Stargate,2,Celestial
3876,"Stargate (Gallente Border)",1000000000,10,Stargate,2,Celestial
3877,"Stargate (Minmatar Constellation)",10000000,10,Stargate,2,Celestial
12292,"Smuggler route stargate",10000000,10,Stargate,2,Celestial
29624,"Stargate (Amarr System)",10000000,10,Stargate,2,Celestial
29625,"Stargate (Amarr Border)",1000000000,10,Stargate,2,Celestial
29626,"Stargate (Amarr Region)",10000000000,10,Stargate,2,Celestial
29627,"Stargate (Caldari Constellation)",10000000,10,Stargate,2,Celestial
29628,"Stargate (Caldari Unused)",10000000,10,Stargate,2,Celestial
29629,"Stargate (Caldari Region)",10000000,10,Stargate,2,Celestial
29630,"Stargate (Gallente Unused 2)",10000000,10,Stargate,2,Celestial
29631,"Stargate (Gallente Unused 1)",10000000,10,Stargate,2,Celestial
29632,"Stargate (Gallente Region)",10000000000,10,Stargate,2,Celestial
29633,"Stargate (Minmatar System)",10000000,10,Stargate,2,Celestial
29634,"Stargate (Minmatar Border)",1000000000,10,Stargate,2,Celestial
29635,"Stargate (Minmatar Region)",10000000000,10,Stargate,2,Celestial
23,"Cargo Container",27500,12,"Cargo Container",2,Celestial
2263,"Planetary Launch Container",27500,12,"Cargo Container",2,Celestial
3293,"Medium Standard Container",325,12,"Cargo Container",2,Celestial
3296,"Large Standard Container",650,12,"Cargo Container",2,Celestial
3297,"Small Standard Container",100,12,"Cargo Container",2,Celestial
24,Ring,1,13,Ring,2,Celestial
25,Corpse,2,14,Biomass,2,Celestial
29148,"Corpse Female",2,14,Biomass,2,Celestial
3260,"Sanshas Supercarrier Wreck",27500,186,Wreck,2,Celestial
26468,Wreck,27500,186,Wreck,2,Celestial
26469,"Amarr Battlecruiser Wreck",27500,186,Wreck,2,Celestial
26470,"Amarr Battleship Wreck",27500,186,Wreck,2,Celestial
26472,"Amarr Carrier Wreck",27500,186,Wreck,2,Celestial
26473,"Amarr Cruiser Wreck",27500,186,Wreck,2,Celestial
26474,"Amarr Destroyer Wreck",27500,186,Wreck,2,Celestial
26475,"Amarr Dreadnought Wreck",27500,186,Wreck,2,Celestial
26476,"Amarr Elite Battlecruiser Wreck",27500,186,Wreck,2,Celestial
